,start station id,start station name,start station latitude,start station longitude
0,3681,Grand St,40.71517767732029,-74.03768330812454
0,3681,Grand St,40.71517767732029,-74.03768330812454
0,3681,Grand St,40.71517767732029,-74.03768330812454
1,3195,Sip Ave,40.73089709786179,-74.06391263008119
1,3195,Sip Ave,40.73089709786179,-74.06391263008119
1,3195,Sip Ave,40.73089709786179,-74.06391263008119
2,3195,Sip Ave,40.73089709786179,-74.06391263008119
2,3195,Sip Ave,40.73089709786179,-74.06391263008119
2,3195,Sip Ave,40.73089709786179,-74.06391263008119
3,3202,Newport PATH,40.7272235,-74.03375890000001
3,3202,Newport PATH,40.7272235,-74.03375890000001
3,3202,Newport PATH,40.7272235,-74.03375890000001
4,3195,Sip Ave,40.73089709786179,-74.06391263008119
4,3195,Sip Ave,40.73089709786179,-74.06391263008119
4,3195,Sip Ave,40.73089709786179,-74.06391263008119
5,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
5,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
5,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
6,3185,City Hall,40.717732500000004,-74.04384499999999
6,3185,City Hall,40.717732500000004,-74.04384499999999
6,3185,City Hall,40.717732500000004,-74.04384499999999
7,3202,Newport PATH,40.7272235,-74.03375890000001
7,3202,Newport PATH,40.7272235,-74.03375890000001
7,3202,Newport PATH,40.7272235,-74.03375890000001
8,3195,Sip Ave,40.73089709786179,-74.06391263008119
8,3195,Sip Ave,40.73089709786179,-74.06391263008119
8,3195,Sip Ave,40.73089709786179,-74.06391263008119
9,3186,Grove St PATH,40.71958611647166,-74.0431174635887
9,3186,Grove St PATH,40.71958611647166,-74.0431174635887
9,3186,Grove St PATH,40.71958611647166,-74.0431174635887
10,3186,Grove St PATH,40.71958611647166,-74.0431174635887
10,3186,Grove St PATH,40.71958611647166,-74.0431174635887
10,3186,Grove St PATH,40.71958611647166,-74.0431174635887
11,3202,Newport PATH,40.7272235,-74.03375890000001
11,3202,Newport PATH,40.7272235,-74.03375890000001
11,3202,Newport PATH,40.7272235,-74.03375890000001
12,3211,Newark Ave,40.72152515,-74.046304543
12,3211,Newark Ave,40.72152515,-74.046304543
12,3211,Newark Ave,40.72152515,-74.046304543
13,3211,Newark Ave,40.72152515,-74.046304543
13,3211,Newark Ave,40.72152515,-74.046304543
13,3211,Newark Ave,40.72152515,-74.046304543
14,3195,Sip Ave,40.73089709786179,-74.06391263008119
14,3195,Sip Ave,40.73089709786179,-74.06391263008119
14,3195,Sip Ave,40.73089709786179,-74.06391263008119
15,3640,Journal Square,40.733670000000004,-74.0625
15,3640,Journal Square,40.733670000000004,-74.0625
15,3640,Journal Square,40.733670000000004,-74.0625
16,3195,Sip Ave,40.73089709786179,-74.06391263008119
16,3195,Sip Ave,40.73089709786179,-74.06391263008119
16,3195,Sip Ave,40.73089709786179,-74.06391263008119
17,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
17,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
17,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
18,3193,Lincoln Park,40.7246050998869,-74.07840594649316
18,3193,Lincoln Park,40.7246050998869,-74.07840594649316
18,3193,Lincoln Park,40.7246050998869,-74.07840594649316
19,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016
19,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016
19,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016
20,3186,Grove St PATH,40.71958611647166,-74.0431174635887
20,3186,Grove St PATH,40.71958611647166,-74.0431174635887
20,3186,Grove St PATH,40.71958611647166,-74.0431174635887
21,3275,Columbus Drive,40.71835519823214,-74.03891444206238
21,3275,Columbus Drive,40.71835519823214,-74.03891444206238
21,3275,Columbus Drive,40.71835519823214,-74.03891444206238
22,3202,Newport PATH,40.7272235,-74.03375890000001
22,3202,Newport PATH,40.7272235,-74.03375890000001
22,3202,Newport PATH,40.7272235,-74.03375890000001
23,3186,Grove St PATH,40.71958611647166,-74.0431174635887
23,3186,Grove St PATH,40.71958611647166,-74.0431174635887
23,3186,Grove St PATH,40.71958611647166,-74.0431174635887
24,3194,McGinley Square,40.7253399253558,-74.06762212514876
24,3194,McGinley Square,40.7253399253558,-74.06762212514876
24,3194,McGinley Square,40.7253399253558,-74.06762212514876
25,3679,Bergen Ave,40.72210378668603,-74.07145500183104
25,3679,Bergen Ave,40.72210378668603,-74.07145500183104
25,3679,Bergen Ave,40.72210378668603,-74.07145500183104
26,3267,Morris Canal,40.7124188237569,-74.03852552175522
26,3267,Morris Canal,40.7124188237569,-74.03852552175522
26,3267,Morris Canal,40.7124188237569,-74.03852552175522
27,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
27,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
27,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
28,3194,McGinley Square,40.7253399253558,-74.06762212514876
28,3194,McGinley Square,40.7253399253558,-74.06762212514876
28,3194,McGinley Square,40.7253399253558,-74.06762212514876
29,3211,Newark Ave,40.72152515,-74.046304543
29,3211,Newark Ave,40.72152515,-74.046304543
29,3211,Newark Ave,40.72152515,-74.046304543
30,3205,JC Medical Center,40.71653978099194,-74.0496379137039
30,3205,JC Medical Center,40.71653978099194,-74.0496379137039
30,3205,JC Medical Center,40.71653978099194,-74.0496379137039
31,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
31,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
31,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
32,3275,Columbus Drive,40.71835519823214,-74.03891444206238
32,3275,Columbus Drive,40.71835519823214,-74.03891444206238
32,3275,Columbus Drive,40.71835519823214,-74.03891444206238
33,3195,Sip Ave,40.73089709786179,-74.06391263008119
33,3195,Sip Ave,40.73089709786179,-74.06391263008119
33,3195,Sip Ave,40.73089709786179,-74.06391263008119
34,3638,Washington St,40.7242941,-74.0354826
34,3638,Washington St,40.7242941,-74.0354826
34,3638,Washington St,40.7242941,-74.0354826
35,3211,Newark Ave,40.72152515,-74.046304543
35,3211,Newark Ave,40.72152515,-74.046304543
35,3211,Newark Ave,40.72152515,-74.046304543
36,3195,Sip Ave,40.73089709786179,-74.06391263008119
36,3195,Sip Ave,40.73089709786179,-74.06391263008119
36,3195,Sip Ave,40.73089709786179,-74.06391263008119
37,3279,Dixon Mills,40.72163014263835,-74.04996782541275
37,3279,Dixon Mills,40.72163014263835,-74.04996782541275
37,3279,Dixon Mills,40.72163014263835,-74.04996782541275
38,3186,Grove St PATH,40.71958611647166,-74.0431174635887
38,3186,Grove St PATH,40.71958611647166,-74.0431174635887
38,3186,Grove St PATH,40.71958611647166,-74.0431174635887
39,3193,Lincoln Park,40.7246050998869,-74.07840594649316
39,3193,Lincoln Park,40.7246050998869,-74.07840594649316
39,3193,Lincoln Park,40.7246050998869,-74.07840594649316
40,3213,Van Vorst Park,40.71848892,-74.047726625
40,3213,Van Vorst Park,40.71848892,-74.047726625
40,3213,Van Vorst Park,40.71848892,-74.047726625
41,3279,Dixon Mills,40.72163014263835,-74.04996782541275
