,end station id,end station name,end station latitude,end station longitude
0,3198,Heights Elevator,40.748715945380226,-74.04044330120088
0,3198,Heights Elevator,40.748715945380226,-74.04044330120088
0,3198,Heights Elevator,40.748715945380226,-74.04044330120088
1,3679,Bergen Ave,40.72210378668603,-74.07145500183104
1,3679,Bergen Ave,40.72210378668603,-74.07145500183104
1,3679,Bergen Ave,40.72210378668603,-74.07145500183104
2,3678,Fairmount Ave,40.72572613742557,-74.07195925712584
2,3678,Fairmount Ave,40.72572613742557,-74.07195925712584
2,3678,Fairmount Ave,40.72572613742557,-74.07195925712584
3,3638,Washington St,40.7242941,-74.0354826
3,3638,Washington St,40.7242941,-74.0354826
3,3638,Washington St,40.7242941,-74.0354826
4,3679,Bergen Ave,40.72210378668603,-74.07145500183104
4,3679,Bergen Ave,40.72210378668603,-74.07145500183104
4,3679,Bergen Ave,40.72210378668603,-74.07145500183104
5,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
5,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
5,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
6,3268,Lafayette Park,40.71346382669195,-74.06285852193831
6,3268,Lafayette Park,40.71346382669195,-74.06285852193831
6,3268,Lafayette Park,40.71346382669195,-74.06285852193831
7,3203,Hamilton Park,40.727595965999996,-74.044247311
7,3203,Hamilton Park,40.727595965999996,-74.044247311
7,3203,Hamilton Park,40.727595965999996,-74.044247311
8,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029
8,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029
8,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029
9,3192,Liberty Light Rail,40.711242299999995,-74.0557013
9,3192,Liberty Light Rail,40.711242299999995,-74.0557013
9,3192,Liberty Light Rail,40.711242299999995,-74.0557013
10,3279,Dixon Mills,40.72163014263835,-74.04996782541275
10,3279,Dixon Mills,40.72163014263835,-74.04996782541275
10,3279,Dixon Mills,40.72163014263835,-74.04996782541275
11,3639,Harborside,40.71925170000001,-74.034234
11,3639,Harborside,40.71925170000001,-74.034234
11,3639,Harborside,40.71925170000001,-74.034234
12,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
12,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
12,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
13,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
13,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
13,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
14,3280,Astor Place,40.71928220070703,-74.07126188278198
14,3280,Astor Place,40.71928220070703,-74.07126188278198
14,3280,Astor Place,40.71928220070703,-74.07126188278198
15,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029
15,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029
15,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029
16,3679,Bergen Ave,40.72210378668603,-74.07145500183104
16,3679,Bergen Ave,40.72210378668603,-74.07145500183104
16,3679,Bergen Ave,40.72210378668603,-74.07145500183104
17,3186,Grove St PATH,40.71958611647166,-74.0431174635887
17,3186,Grove St PATH,40.71958611647166,-74.0431174635887
17,3186,Grove St PATH,40.71958611647166,-74.0431174635887
18,3186,Grove St PATH,40.71958611647166,-74.0431174635887
18,3186,Grove St PATH,40.71958611647166,-74.0431174635887
18,3186,Grove St PATH,40.71958611647166,-74.0431174635887
19,3192,Liberty Light Rail,40.711242299999995,-74.0557013
19,3192,Liberty Light Rail,40.711242299999995,-74.0557013
19,3192,Liberty Light Rail,40.711242299999995,-74.0557013
20,3275,Columbus Drive,40.71835519823214,-74.03891444206238
20,3275,Columbus Drive,40.71835519823214,-74.03891444206238
20,3275,Columbus Drive,40.71835519823214,-74.03891444206238
21,3267,Morris Canal,40.7124188237569,-74.03852552175522
21,3267,Morris Canal,40.7124188237569,-74.03852552175522
21,3267,Morris Canal,40.7124188237569,-74.03852552175522
22,3199,Newport Pkwy,40.728744799999994,-74.03210820000001
22,3199,Newport Pkwy,40.728744799999994,-74.03210820000001
22,3199,Newport Pkwy,40.728744799999994,-74.03210820000001
23,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
23,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
23,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
24,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
24,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
24,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
25,3195,Sip Ave,40.73089709786179,-74.06391263008119
25,3195,Sip Ave,40.73089709786179,-74.06391263008119
25,3195,Sip Ave,40.73089709786179,-74.06391263008119
26,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
26,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
26,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
27,3638,Washington St,40.7242941,-74.0354826
27,3638,Washington St,40.7242941,-74.0354826
27,3638,Washington St,40.7242941,-74.0354826
28,3195,Sip Ave,40.73089709786179,-74.06391263008119
28,3195,Sip Ave,40.73089709786179,-74.06391263008119
28,3195,Sip Ave,40.73089709786179,-74.06391263008119
29,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
29,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
29,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
30,3481,York St,40.71649,-74.04105
30,3481,York St,40.71649,-74.04105
30,3481,York St,40.71649,-74.04105
31,3185,City Hall,40.717732500000004,-74.04384499999999
31,3185,City Hall,40.717732500000004,-74.04384499999999
31,3185,City Hall,40.717732500000004,-74.04384499999999
32,3202,Newport PATH,40.7272235,-74.03375890000001
32,3202,Newport PATH,40.7272235,-74.03375890000001
32,3202,Newport PATH,40.7272235,-74.03375890000001
33,3225,Baldwin at Montgomery,40.7236589,-74.0641943
33,3225,Baldwin at Montgomery,40.7236589,-74.0641943
33,3225,Baldwin at Montgomery,40.7236589,-74.0641943
34,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
34,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
34,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
35,3187,Warren St,40.721123600000006,-74.03805095
35,3187,Warren St,40.721123600000006,-74.03805095
35,3187,Warren St,40.721123600000006,-74.03805095
36,3193,Lincoln Park,40.7246050998869,-74.07840594649316
36,3193,Lincoln Park,40.7246050998869,-74.07840594649316
36,3193,Lincoln Park,40.7246050998869,-74.07840594649316
37,3186,Grove St PATH,40.71958611647166,-74.0431174635887
37,3186,Grove St PATH,40.71958611647166,-74.0431174635887
37,3186,Grove St PATH,40.71958611647166,-74.0431174635887
38,3639,Harborside,40.71925170000001,-74.034234
38,3639,Harborside,40.71925170000001,-74.034234
38,3639,Harborside,40.71925170000001,-74.034234
39,3483,Montgomery St,40.71942,-74.05099
39,3483,Montgomery St,40.71942,-74.05099
39,3483,Montgomery St,40.71942,-74.05099
40,3186,Grove St PATH,40.71958611647166,-74.0431174635887
40,3186,Grove St PATH,40.71958611647166,-74.0431174635887
40,3186,Grove St PATH,40.71958611647166,-74.0431174635887
41,3279,Dixon Mills,40.72163014263835,-74.04996782541275
41,3279,Dixon Mills,40.72163014263835,-74.04996782541275
41,3279,Dixon Mills,40.72163014263835,-74.04996782541275
42,3184,Paulus Hook,40.7141454,-74.0335519
42,3184,Paulus Hook,40.7141454,-74.0335519
42,3184,Paulus Hook,40.7141454,-74.0335519
43,3273,Manila & 1st,40.72165072487999,-74.04288411140442
